"ID","wf1_group","wf2_group","r_corr","pra_linear","mandel_p_val","concavity","r2_linear","r2_adj_linear","mandel_stats"
"Saturation 030","Poor Linearity","Saturation",0.929168,75.9521595873481,0.000448516840396184,-14.269092270863,0.863354,0.836024,112.334776387951
"Saturation 031","Poor Linearity","Saturation",0.913323,79.3435467783056,0.00454922175939097,-28.1478044878308,0.834158,0.80099,33.0073083372861
"Saturation 032","Poor Linearity","Saturation",0.927194,74.6036018796639,0.000790034973741003,-7.84141395428433,0.859688,0.831625,83.8233929154292
"Saturation 033","Poor Linearity","Saturation",0.934953,72.487404865338,0.000490812129661509,-28.0726149598266,0.874138,0.848965,107.239381267931
"Saturation 034","Poor Linearity","Saturation",0.928472,69.2935238720093,0.000254208685928313,-27.5519512012619,0.862059,0.834471,150.303698740445
"Saturation 035","Poor Linearity","Saturation",0.916077,69.397808611025,0.000881641520931002,-39.9209968998447,0.839198,0.807037,79.1723218811297
"Saturation 036","Poor Linearity","Saturation",0.919795,71.3845581922122,0.00105324329204046,-14.1772481777755,0.846023,0.815228,72.1543367531101
"Saturation 037","Poor Linearity","Saturation",0.908378,72.559106400511,0.0052711221769006,-39.0868642720267,0.82515,0.79018,30.4308254002918
"Saturation 038","Good Linearity","Good Linearity",0.918671,81.5129659684813,0.00711564777984684,-14.5923369339334,0.843956,0.812747,25.7349609155449
"Saturation 039","Poor Linearity","Saturation",0.895526,63.1294384963976,0.00122628680187255,-14.2102661543348,0.801967,0.76236,66.6275197623008
"Saturation 040","Poor Linearity","Saturation",0.920114,77.3657656894083,0.00325816134904497,-35.90247685564,0.84661,0.815932,39.599797713697
"Saturation 041","Poor Linearity","Saturation",0.919175,77.1233744829634,0.0028912051002161,-36.1923884922736,0.844882,0.813858,42.2405631485981
"Saturation 042","Poor Linearity","Saturation",0.916209,67.4087669582845,0.00077070088985435,-4.21937976591341,0.83944,0.807328,84.9096012388065
"Saturation 043","Poor Linearity","Saturation",0.909118,67.2930224719703,0.00102908912239601,-0.385252659886574,0.826496,0.791795,73.0348359058005
"Saturation 044","Poor Linearity","Saturation",0.920404,69.6557091256698,0.00233351076102116,-13.7476912468739,0.847143,0.816572,47.3909033060906
"Saturation 045","Poor Linearity","Saturation",0.922759,77.6162039327837,0.00539443136241827,-33.3406783524788,0.851484,0.821781,30.0433035277903
"Saturation 046","Poor Linearity","Saturation",0.915484,76.1386914517366,0.00368953746674391,-35.7652886079177,0.838111,0.805733,37.0145078510346
"Saturation 047","Poor Linearity","Saturation",0.911844,66.7554633805568,0.00274591189447769,-26.0646279099806,0.83146,0.797752,43.4297489797572
"Saturation 048","Poor Linearity","Saturation",0.920284,73.2608901780994,0.00313625358479861,-19.5142001608075,0.846923,0.816308,40.4254804879656
"Saturation 049","Poor Linearity","Saturation",0.921573,71.4546826375181,0.00355937006318295,-29.2643640548655,0.849297,0.819157,37.7448674446233
"Saturation 050","Poor Linearity","Saturation",0.918707,68.2966231861678,0.00287598792582474,-17.5775360557018,0.844023,0.812828,42.3608711238744
"Saturation 051","Good Linearity","Good Linearity",0.925957,80.3845123621244,0.00323279701875719,-0.746469568933971,0.857397,0.828876,39.7677343521794
"Saturation 052","Poor Linearity","Saturation",0.920354,77.568087379243,0.0074249883719841,-32.4936708340311,0.847051,0.816462,25.1243149245086
"Saturation 053","Poor Linearity","Saturation",0.902909,76.5991933612285,0.0057968736010693,-9.84078588126397,0.815245,0.778294,28.8658185048008
"Saturation 054","Good Linearity","Good Linearity",0.916968,80.9716824800605,0.00678450461163722,-18.4706456521092,0.84083,0.808996,26.4344289994949
"Saturation 055","Poor Linearity","Saturation",0.91199,73.6271675663273,0.00909862950972298,-37.2766361540177,0.831725,0.79807,22.3805905236491
"Saturation 056","Poor Linearity","Saturation",0.912238,66.7758664640304,0.00100332913862358,-20.2125807470934,0.832177,0.798613,74.0086959544464
"Saturation 057","Poor Linearity","Saturation",0.90875,70.5824306582851,0.00608278233152441,-22.0490123279076,0.825827,0.790992,28.1013199512958
"Saturation 058","Poor Linearity","Saturation",0.915685,76.7945845168629,0.00456168339126771,-19.0899137137942,0.838479,0.806175,32.9577032835828
"Saturation 059","Poor Linearity","Saturation",0.899023,63.6007339776681,0.00309371154848684,-40.0280641280183,0.808243,0.769892,40.725046379018
"Saturation 060","Good Linearity","Good Linearity",0.910283,80.1025188387461,0.00702597894109508,-30.6814614778636,0.828615,0.794338,25.9194718726506
"Saturation 061","Poor Linearity","Saturation",0.907944,71.5202505811843,0.003772823719057,-30.7653643448042,0.824363,0.789235,36.5671641409472
"Saturation 062","Poor Linearity","Saturation",0.935374,75.0817195132768,0.000542366711120825,-16.6734946530414,0.874924,0.849909,101.853716474656
"Saturation 063","Poor Linearity","Saturation",0.910505,64.1524318096291,0.00301992995007297,-26.0307936693648,0.82902,0.794824,41.2595262849693
"Saturation 064","Poor Linearity","Saturation",0.917352,72.020673160465,0.000981967315510328,-4.02751606583698,0.841535,0.809842,74.8451848558341
